tunefamily,songid,motifid,begintime,endtime,duration,startindex,endindex,numberofnotes,motifclass,description,annotator,changes
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_03,28,32,4,41,45,5,"12:abcag2","rhytmic+melodic","ann2","add"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_04,4,6,2,5,8,4,"2:gbdd","rhytmic+melodic(triat)","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_05,8,10,2,11,13,3,"4:ded","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_06,11,12,1,15,16,2,"5:dc","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_07,13,16,3,19,21,3,"6:bcd","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_08,16,79/4,15/4,22,27,6,"7:g-g'fis","8jump+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_09,22,24,2,32,34,3,"8:edd","melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070125_01,NLB070125_01_00,5,15/2,5/2,8,11,4,"1:deda","rhytmic+melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070125_01,NLB070125_01_01,13,31/2,5/2,21,24,4,"1:deda","rhytmic+melodic","ann2","add"
Het_vrouwtje_van_Stavoren_1,NLB070125_01,NLB070125_01_02,28,32,4,48,52,5,"4:dacbg","melodic","ann2","length"
En_er_waren_eens_twee_zoeteliefjes,NLB070134_01,NLB070134_01_00,0,3/2,3/2,0,2,3,"1:dg","jump","ann3",""
En_er_waren_eens_twee_zoeteliefjes,NLB070134_01,NLB070134_01_01,8,19/2,3/2,10,12,3,"1:dg","jump","ann3",""
En_er_waren_eens_twee_zoeteliefjes,NLB070134_01,NLB070134_01_02,19,24,5,24,30,7,"2:bbcdeee","melodic","ann3","length"
En_er_waren_eens_twee_zoeteliefjes,NLB070134_01,NLB070134_01_03,28,32,4,37,39,3,"3:edb","melodic, harmonic","ann3",""
Ik_kwam_laatst_eens_in_de_stad,NLB070137_01,NLB070137_01_00,3,6,3,4,9,6,"1:eddedd","rhytmic+repeated notes","ann2",""
Ik_kwam_laatst_eens_in_de_stad,NLB070137_01,NLB070137_01_01,6,21/2,9/2,10,14,5,"2:bbddc","melodic+sequens","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB070137_01,NLB070137_01_02,21/2,15,9/2,15,19,5,"2:bbddc","melodic+sequens","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB070137_01,NLB070137_01_03,15,18,3,20,23,4,"3:gbdg","melodic","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB070137_01,NLB070137_01_04,21,49/2,7/2,27,33,7,"4:eeegfise","melodic+rhytmic","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB070137_01,NLB070137_01_05,24,27,3,33,36,4,"5:dcb","melodic","ann2","length"
Een_lindeboom_stond_in_het_dal_1,NLB070141_01,NLB070141_01_00,0,3,3,0,3,4,"1:dbdg","melodic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070141_01,NLB070141_01_01,12,29/2,5/2,16,19,4,"1:dbdg","melodic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070141_01,NLB070141_01_02,7/2,6,5/2,5,7,3,"2:gfisc","melodic, harmonic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070141_01,NLB070141_01_03,19,43/2,5/2,29,32,4,"3:defisg","melodic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070144_01,NLB070144_01_00,0,5/2,5/2,0,2,3,"1:dbdg","melodic","ann3","add"
Een_lindeboom_stond_in_het_dal_1,NLB070144_01,NLB070144_01_01,3,11/2,5/2,4,6,3,"2:gfisc","melodic, harmonic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070144_01,NLB070144_01_02,23/2,14,5/2,15,18,4,"1:dbdg","melodic","ann3","add"
Een_lindeboom_stond_in_het_dal_1,NLB070144_01,NLB070144_01_03,37/2,22,7/2,27,30,4,"3:defisg","melodic","ann3",""
Er_was_een_herderinnetje_1,NLB070238_01,NLB070238_01_00,55/2,30,5/2,33,34,2,"1:ad","descending interval, leap","ann1",""
Er_was_een_herderinnetje_1,NLB070238_01,NLB070238_01_01,79/2,42,5/2,46,47,2,"1:ad","descending interval, leap","ann1","pr"
Er_was_een_herderinnetje_1,NLB070238_01,NLB070238_01_02,121/2,127/2,3,70,72,3,"2:fised","melodic line and rhythmic figure","ann1",""
Er_was_een_herderinnetje_1,NLB070238_01,NLB070238_01_03,65,141/2,11/2,75,77,3,"3:bag","melodic line","ann1",""
Het_vrouwtje_van_Stavoren_1,NLB070360_01,NLB070360_01_00,11,16,5,9,12,4,"1:deda","rhytmic+melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070360_01,NLB070360_01_01,51,109/2,7/2,46,48,3,"2:gbd","triad with slur","ann2",""
Het_vrouwtje_van_Stavoren_1,NLB070360_01,NLB070360_01_02,35,77/2,7/2,32,34,3,"2:gbd","triad with slur","ann2","add"
Het_vrouwtje_van_Stavoren_1,NLB070360_01,NLB070360_01_03,55,62,7,50,54,5,"4:dacbg","melodic","ann2","length"
Lieve_schipper_vaar_me_over_1,NLB070411_01,NLB070411_01_00,0,2,2,0,2,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070411_01,NLB070411_01_01,2,6,4,3,7,5,"2:edccb","descending melodic figure","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070411_01,NLB070411_01_02,12,18,6,16,24,9,"5:abcdefisgg","ascending line, melodic","ann1","cons"
Lieve_schipper_vaar_me_over_1,NLB070463_01,NLB070463_01_00,0,5/2,5/2,0,2,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070463_01,NLB070463_01_01,5/2,6,7/2,3,7,5,"2:edccb","descending melodic figure","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070463_01,NLB070463_01_02,19/2,12,5/2,14,15,2,"3:da","descending interval","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070463_01,NLB070463_01_03,12,18,6,16,23,8,"5:abcdefisgg","ascending line, melodic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070463_01,NLB070463_01_04,24,30,6,32,39,8,"5:abcdefisgg","ascending line, melodic","ann1","pr"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_00,2,4,2,3,5,3,"1:ca","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_01,32,35,3,46,49,4,"10:decb","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_02,35,36,1,50,51,2,"11:gg","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_03,36,40,4,52,56,5,"12:abcag2","rhytmic+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_04,4,6,2,6,9,4,"2:gbdd","rhytmic+melodic(triat)","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_05,11,12,1,16,17,2,"5:dc","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_06,13,16,3,20,22,3,"6:bcd","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_07,16,20,4,23,28,6,"7:g-g'fis","8jump+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_08,22,24,2,32,34,3,"8:edd","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070475_01,NLB070475_01_09,28,32,4,41,45,5,"9:cdeed","rhytmic+melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB070492_01,NLB070492_01_00,9,12,3,12,14,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB070492_01,NLB070492_01_01,1,4,3,2,4,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB070492_01,NLB070492_01_02,5,8,3,7,9,3,"2:afisd","melodic (triad or jump)","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB070492_01,NLB070492_01_03,11,16,5,14,17,4,"3:dcba","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB070492_01,NLB070492_01_04,17,21,4,20,23,4,"4:cdee","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB070492_01,NLB070492_01_05,21,24,3,24,26,3,"5:dbg","melodic (triad or jump)","ann2","length"
Daar_was_laatstmaal_een_ruiter_2,NLB070493_01,NLB070493_01_00,0,3/2,3/2,0,1,2,"1:dg","interval up","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB070493_01,NLB070493_01_01,8,19/2,3/2,9,10,2,"1:dg","interval up","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB070493_01,NLB070493_01_02,9/2,13/2,2,7,8,2,"2:gd","interval down","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB070493_01,NLB070493_01_03,25/2,29/2,2,17,18,2,"2:gd","interval down","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB070493_01,NLB070493_01_04,33/2,37/2,2,21,24,4,"3:bbbb","repeating notes","ann1",""
Daar_was_laatstmaal_een_ruiter_2,NLB070493_01,NLB070493_01_05,41/2,47/2,3,29,33,5,"4:ddcba","melodic","ann1","length"
Er_was_een_herderinnetje_1,NLB070521_01,NLB070521_01_00,55/2,30,5/2,33,34,2,"1:ad","descending interval, leap","ann1",""
Er_was_een_herderinnetje_1,NLB070521_01,NLB070521_01_01,79/2,42,5/2,45,47,3,"1:ad","descending interval, leap","ann1",""
Er_was_een_herderinnetje_1,NLB070521_01,NLB070521_01_02,62,65,3,69,71,3,"2:fised","melodic line and rhythmic figure","ann1",""
Er_was_een_herderinnetje_1,NLB070521_01,NLB070521_01_03,133/2,72,11/2,74,76,3,"3:bag","melodic line","ann1",""
Femmes_voulez_vous_eprouver,NLB070526_01,NLB070526_01_00,13,15,2,17,19,3,"1:bag","melodic","ann1",""
Femmes_voulez_vous_eprouver,NLB070526_01,NLB070526_01_01,19,23,4,25,27,3,"2:fis","highest note in line","ann1","length"
Femmes_voulez_vous_eprouver,NLB070526_01,NLB070526_01_02,29,32,3,35,37,3,"3:gacb","melodic","ann1",""
Femmes_voulez_vous_eprouver,NLB070526_01,NLB070526_01_03,37,40,3,46,48,3,"4:bag","melodic","ann1",""
Lieve_schipper_vaar_me_over_1,NLB070532_01,NLB070532_01_00,6,17/2,5/2,8,10,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070532_01,NLB070532_01_01,0,5/2,5/2,0,2,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070532_01,NLB070532_01_02,5/2,6,7/2,3,7,5,"2:edccb","descending melodic figure","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070532_01,NLB070532_01_03,39/4,12,9/4,13,14,2,"3:da","descending interval","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070532_01,NLB070532_01_04,12,18,6,15,22,8,"5:abcdefisgg","ascending line, melodic","ann1","cons"
Het_vrouwtje_van_Stavoren_1,NLB070535_01,NLB070535_01_00,11,16,5,10,13,4,"1:deda","rhytmic+melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070535_01,NLB070535_01_01,53,113/2,7/2,46,48,3,"2:gbd","triad with slur","ann2",""
Het_vrouwtje_van_Stavoren_1,NLB070535_01,NLB070535_01_02,69,145/2,7/2,60,62,3,"2:gbd","triad with slur","ann2",""
Het_vrouwtje_van_Stavoren_1,NLB070535_01,NLB070535_01_03,44,47,3,39,40,2,"3:ed","melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070535_01,NLB070535_01_04,73,79,6,64,68,5,"4:dacbg","melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070535_01,NLB070535_01_05,57,63,6,50,54,5,"4:dacbg","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_00,2,4,2,3,4,2,"1:ca","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_01,32,35,3,44,47,4,"10:decb","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_02,35,36,1,48,49,2,"11:gg","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_03,36,40,4,50,54,5,"12:abcag2","rhytmic+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_04,4,6,2,5,8,4,"2:gbdd","rhytmic+melodic(triat)","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_05,10,12,2,14,16,3,"5:dc","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_06,16,20,4,22,26,5,"7:g-g'fis","8jump+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_07,22,24,2,31,32,2,"8:edd","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070606_01,NLB070606_01_08,28,32,4,39,43,5,"9:cdeed","rhytmic+melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070693_01,NLB070693_01_00,21/2,29/2,4,11,14,4,"1:deda","rhytmic+melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070693_01,NLB070693_01_01,53/2,61/2,4,27,30,4,"1:deda","rhytmic+melodic","ann2","add"
Het_vrouwtje_van_Stavoren_1,NLB070693_01,NLB070693_01_02,105/2,56,7/2,50,52,3,"2:gbd","triad with slur","ann2",""
Het_vrouwtje_van_Stavoren_1,NLB070693_01,NLB070693_01_03,44,95/2,7/2,43,44,2,"3:ed","melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070693_01,NLB070693_01_04,113/2,127/2,7,54,58,5,"4:dacbg","melodic","ann2","length"
Vaarwel_bruidje_schoon,NLB070732_01,NLB070732_01_00,2,6,4,3,7,5,"1:defisg","melodic line","ann1",""
Vaarwel_bruidje_schoon,NLB070732_01,NLB070732_01_01,14,18,4,17,21,5,"1:defisg","melodic line","ann1","pr"
Vaarwel_bruidje_schoon,NLB070732_01,NLB070732_01_02,10,12,2,12,13,2,"2:ba","descending interval","ann1","length"
Vaarwel_bruidje_schoon,NLB070732_01,NLB070732_01_03,22,24,2,27,28,2,"2:ba","descending interval","ann1","pr"
Vaarwel_bruidje_schoon,NLB070732_01,NLB070732_01_04,24,32,8,29,34,6,"3:deedee","rhythmic, repeating note","ann1","length"
Een_lindeboom_stond_in_het_dal_1,NLB070740_01,NLB070740_01_00,12,15,3,16,19,4,"1:dbdg","melodic","ann3","add"
Een_lindeboom_stond_in_het_dal_1,NLB070740_01,NLB070740_01_01,21,24,3,28,31,4,"3:defisg","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_00,24,53/2,5/2,32,36,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_01,0,3,3,0,4,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_02,12,29/2,5/2,14,18,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_03,7/2,11/2,2,6,7,2,"2:fise","jump","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_04,8,23/2,7/2,11,13,3,"3:gfised","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_05,15,18,3,20,24,5,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_06,27,30,3,38,42,5,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_07,18,47/2,11/2,25,31,7,"5:edefisg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070748_01,NLB070748_01_08,30,71/2,11/2,43,49,7,"5:edefisg","melodic","ann3","length"
Daar_reed_een_jonkheer_1,NLB070801_01,NLB070801_01_00,5/2,5,5/2,4,7,4,"1:gfed","melodic line","ann1",""
Daar_reed_een_jonkheer_1,NLB070801_01,NLB070801_01_01,23/2,14,5/2,18,21,4,"1:gfed","melodic line","ann1","pr"
Daar_reed_een_jonkheer_1,NLB070801_01,NLB070801_01_02,7,9,2,11,14,4,"2:aaaa","repeating notes, rhythmic","ann1",""
Daar_reed_een_jonkheer_1,NLB070801_01,NLB070801_01_03,16,18,2,25,28,4,"2:aaaa","repeating notes, rhythmic","ann1","pr"
Daar_reed_een_jonkheer_1,NLB070801_01,NLB070801_01_04,53/2,59/2,3,44,47,4,"1:gfed","melodic line","ann1","add"
Lieve_schipper_vaar_me_over_1,NLB070839_01,NLB070839_01_00,0,2,2,0,2,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070839_01,NLB070839_01_01,2,6,4,3,7,5,"2:edccb","descending melodic figure","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB070839_01,NLB070839_01_02,12,18,6,16,24,9,"5:abcdefisgg","ascending line, melodic","ann1","cons"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_00,1,4,3,1,4,4,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_01,13,16,3,13,16,4,"1:b,a,g,fis","melodic descending","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_02,9,12,3,10,11,2,"2:a,d","descending fifth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_03,21,24,3,22,23,2,"2:a,d","descending fifth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_04,26,28,2,27,30,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_05,41,43,2,47,50,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_06,31,34,3,35,37,3,"5:bdb","ascending + descending interval","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_07,46,49,3,55,57,3,"5:bdb","ascending + descending interval","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_08,34,39,5,38,43,6,"6:accbag","melodic figure","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_09,49,54,5,58,63,6,"6:accbag","melodic figure","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB070996_01,NLB070996_01_10,24,26,2,24,26,3,"3:ddg","ascending fourth","ann1","add"
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_00,0,3,3,0,3,4,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_01,12,29/2,5/2,13,17,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_02,24,53/2,5/2,31,35,5,"1:dbdg","melodic","ann3","pr"
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_03,7/2,6,5/2,5,6,2,"2:fise","jump","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_04,8,12,4,10,12,3,"3:gfised","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_05,15,35/2,5/2,19,22,4,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_06,27,59/2,5/2,37,40,4,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_07,18,24,6,24,30,7,"5:edefisg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB071014_01,NLB071014_01_08,30,36,6,42,48,7,"5:edefisg","melodic","ann3","length"
Er_was_een_herderinnetje_1,NLB071016_01,NLB071016_01_00,79/2,42,5/2,49,51,3,"1:ad","descending interval, leap","ann1",""
Er_was_een_herderinnetje_1,NLB071016_01,NLB071016_01_01,55/2,30,5/2,34,36,3,"1:ad","descending interval, leap","ann1",""
Er_was_een_herderinnetje_1,NLB071016_01,NLB071016_01_02,121/2,127/2,3,73,76,4,"2:fised","melodic line and rhythmic figure","ann1",""
Er_was_een_herderinnetje_1,NLB071016_01,NLB071016_01_03,65,141/2,11/2,79,82,4,"3:bag","melodic line","ann1",""
Zolang_de_boom_zal_bloeien_1,NLB071064_01,NLB071064_01_00,12,15,3,15,19,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB071064_01,NLB071064_01_01,0,3,3,0,4,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB071064_01,NLB071064_01_02,7/2,6,5/2,6,7,2,"2:fise","jump","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071064_01,NLB071064_01_03,15/2,12,9/2,11,14,4,"3:gfised","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071064_01,NLB071064_01_04,31/2,18,5/2,21,23,3,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB071064_01,NLB071064_01_05,18,24,6,24,30,7,"5:edefisg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB071082_01,NLB071082_01_00,0,3,3,0,3,4,"1:dbdg","melodic","ann3","length"
