@relation groupsamp
@attribute class {'X1','X10','X2','X3','X4','X5','X6','X7','X8','X9'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.2692,0.2885,0.6071,0.6333,2,2,4,14,8,21,74,73,0.3942,0.6058,2,5,2,2,2.68,4,3,0.4272,0.3182,0.3301,0.1165,0.07767,0.5049,0.1942,0.1359,0,0.009709,0.02913,0,0.009709,0,1.857,0.02885,0.4396,1.978,5.804,5.13,120,40,3,0.296,0.284,1.042,0.58,3,9,3,1,0.03916,1.733,0.7349,0.5721,0.3438,2.5,0.125,0,0.5723,0.3455,0.01653,60,60.5
'X1',0.2703,0.2703,0.95,0.95,2,2,4,8,7,12,71,69,0.8514,0.1486,11,3,2,2,2.329,3,2,0.4795,0.3143,0.3699,0.1507,0.06849,0.5479,0.1781,0.08219,0,0.0411,0,0,0,0,1.6,0.09459,0.5,2.385,6.423,4.286,60,120,2,0.1655,0.1622,1.021,0.3277,5,18,5,0.4,0.02674,2.96,1.962,0.3243,0.2299,1.5,0.0625,0.08108,0.3146,0.2171,0.04,24.5,25
'X1',0.2597,0.2597,0.9,0.9,3,9,5,8,7,12,74,72,0.5844,0.4156,2,6,2,2,2.079,3,2,0.4605,0.4,0.3947,0.1842,0.06579,0.5263,0.2105,0.07895,0,0,0,0,0,0,2.2,0.01299,0.4032,2.385,5.962,5.561,120,40,3,0.2423,0.2026,1.196,0.4449,5,5,5,0.6,0.03399,2.484,1.098,0.3994,0.2549,1.5,0.125,0,0.4008,0.256,0.0315,31.25,31.75
'X1',0.2727,0.2955,0.75,0.6923,2,2,5,9,7,17,74,74,0.2955,0.7045,2,3,2,2,1.977,4,2,0.4186,0.5,0.3256,0.2093,0.1395,0.5581,0.1163,0.1163,0,0,0,0,0,0,0.6667,0.02273,0.5,2.125,5,3.469,48,40,1.2,0.2013,0.1812,1.111,0.3826,5,10,5,0.2,0.03146,2.933,1.886,0.3352,0.2049,1.25,0.125,0,0.3367,0.2069,0.06349,15.25,15.75
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.4286,0.4286,0.5,0.5,5,7,3,5,5,7,74,72,0.5,0.5,2,2,2,0,1.077,2,2,0.4615,0.8333,0.5385,0.4615,0.07692,0.4615,0.07692,0,0,0,0,0,0,0,0,0,0.5714,3.5,4.5,2.222,80,40,2,0.275,0.225,1.222,0.5,5,5,5,0.4,0.0358,2.333,0.8839,0.3571,0.1284,0.5,0.25,0,0.3457,0.1266,0.1667,5.5,6
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2667,0.2667,0.75,1,3,3,4,8,7,14,66,65,1,0,6,2,3,2,3,3,1,0.4286,0.5,0.5,0.07143,0.07143,0.5,0.3571,0,0,0,0,0,0.07143,0,1.5,0,0.3846,3.25,10,4.286,120,40,3,0.25,0.2045,1.222,0.4545,5,5,5,0.6,0.03521,3,2.475,0.3167,0.1144,0.5,0.25,0,0.3209,0.1172,0.1739,5.25,5.75
'X1',0.4167,0.4167,0.8,0.8,2,2,2,5,5,8,76,75,0.08333,0.9167,4,1,2,2,1.818,4,1,0.4545,0.6,0.4545,0.1818,0.09091,0.5455,0.2727,0,0,0,0,0,0,0,0,0,0.4444,2.25,4.25,2.571,120,80,1.5,0.25,0.225,1.111,0.475,5,5,5,0.6,0.03536,3,0,0.2708,0.07217,0.5,0.25,0,0.2722,0.07538,0.2353,3.75,4.25
'X1',0.249,0.249,0.7812,0.7812,2,2,3,14,11,16,69,68,0.9339,0.06615,9,3,3,2,1.844,3,2,0.4531,0.569,0.3438,0.2578,0.1289,0.582,0.0625,0.07031,0,0.01172,0.003906,0.01172,0,0,0.7778,0.01556,0.4263,2.375,5.812,4.764,40,80,2,0.2127,0.2065,1.03,0.4192,5,7,5,0.6,0.03338,2.92,0.5967,0.3414,0.1826,1.25,0.125,0,0.3413,0.1829,0.01127,88.25,88.75
'X1',0.2174,0.2609,1,0.8333,2,7,4,7,6,14,69,70,0.6957,0.3043,2,3,2,2,2.727,6,2,0.3182,0.5714,0.4091,0.1818,0.09091,0.4091,0.1364,0.1818,0,0.09091,0,0,0,0,2,0,0.5,2.25,6.625,4.438,120,40,3,0.1724,0.1609,1.071,0.3333,5,10,5,0.6,0.02865,3.286,0.5303,0.2935,0.1441,0.75,0.125,0,0.295,0.1471,0.129,7.25,7.75
'X1',0.25,0.25,0.8667,0.8667,5,5,4,8,8,11,67,65,1,0,7,2,3,2,2.153,4,1,0.3729,0.5455,0.2712,0.1695,0.2034,0.5763,0.1017,0.1186,0.01695,0,0.01695,0,0,0,1,0,0.4286,1.885,4.731,4.367,80,40,2,0.2376,0.2265,1.049,0.4641,5,6,5,0.4,0.03444,2.4,1.463,0.4021,0.3063,1.25,0.125,0,0.4063,0.3067,0.0398,24.62,25.12
'X1',0.2353,0.2353,0.875,0.875,4,4,4,8,7,12,67,68,0.9412,0.05882,7,3,3,2,2.333,5,2,0.3636,0.5,0.3636,0.1818,0.1515,0.5152,0.1515,0.09091,0,0.0303,0.0303,0,0,0,1.5,0,0.4444,2.25,6.167,3.833,60,120,2,0.2472,0.2472,1,0.4944,5,5,5,0.4,0.03562,2.267,1.514,0.4191,0.2517,1.5,0.25,0,0.4238,0.2538,0.06557,14.75,15.25
'X1',0.2832,0.2832,0.7658,0.7658,2,2,4,12,9,16,69,69,0.9158,0.08418,9,4,3,2,2.609,2,2,0.5754,0.2133,0.2813,0.1228,0.08184,0.6573,0.07673,0.04092,0,0.03581,0.02046,0.03836,0.007673,0,1.308,0.0102,0.379,2.144,6.35,4.873,40,60,1.5,0.2306,0.2297,1.004,0.4602,5,5,5,0.6,0.03496,2.19,0.497,0.4541,0.2411,1.5,0.125,0,0.4535,0.2414,0.005587,178.5,179
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2273,0.2273,1,1,3,9,6,8,7,12,71,72,0.5909,0.4091,2,6,2,2,2,4,1,0.4762,0.4,0.2857,0.09524,0.1905,0.6667,0.1905,0.04762,0,0,0,0,0,0,3,0.1364,0.3684,3.167,6.5,5,60,40,1.5,0.2031,0.1875,1.083,0.3906,4,10,6,0.3333,0.02904,2.444,0.1768,0.375,0.2113,1,0.125,0,0.3805,0.2146,0.1081,8.75,9.25
'X1',0.2456,0.2456,0.6905,0.7143,7,5,5,10,8,14,67,70,0.7193,0.2807,7,6,1,2,1.988,4,2,0.4,0.5588,0.3529,0.2235,0.1294,0.5294,0.1176,0.1176,0,0.01176,0,0,0,0,2.333,0,0.447,2.357,5.964,4.65,80,40,2,0.2802,0.2704,1.036,0.5506,5,5,5,0.4,0.03629,2.342,0.5334,0.424,0.2167,1.25,0.125,0,0.4216,0.2158,0.01361,73,73.5
'X1',0.3056,0.3056,0.6364,0.7273,5,5,4,9,7,14,74,75,0.25,0.75,2,3,2,2,1.886,3,2,0.4286,0.6,0.3143,0.2571,0.1714,0.6,0.02857,0.08571,0,0,0,0,0.02857,0,0,0.05556,0.3462,2.6,6.1,4,60,120,2,0.2174,0.2087,1.042,0.4261,5,10,5,0.4,0.0314,2.769,0.5092,0.3542,0.1595,0.75,0.125,0,0.3567,0.1608,0.07273,13.25,13.75
'X1',0.2778,0.2778,0.8,0.8,4,4,5,7,7,11,76,73,0.4444,0.5556,4,3,4,0,1.294,3,2,0.4706,0.625,0.6471,0.4706,0.05882,0.3529,0.1765,0,0,0,0,0,0,0,0.5,0,0.3333,4.5,10,3.182,120,40,3,0.2069,0.1897,1.091,0.3966,5,10,5,0.6,0.03076,2.571,0.1768,0.3611,0.2006,1,0.125,0,0.323,0.1255,0.1333,7,7.5
'X1',0.35,0.35,0.8571,0.8571,2,2,4,7,7,11,74,73,0.3,0.7,2,2,3,2,1.474,3,2,0.4211,0.875,0.5263,0.3684,0.05263,0.4737,0.1579,0,0,0,0,0,0,0,0.5,0.05,0.4167,3,5.25,2.154,120,60,2,0.2281,0.1754,1.3,0.4035,5,10,5,0.6,0.03159,2.5,0.4125,0.35,0.2092,1,0.125,0,0.3416,0.2118,0.125,7.5,8
'X1',0.2788,0.2788,0.9231,0.9231,2,2,3,12,9,16,71,69,0.9181,0.08187,11,3,3,2,2.119,4,2,0.4238,0.53,0.3633,0.2246,0.0957,0.5195,0.1172,0.1055,0,0.02148,0.01172,0,0,0,1.727,0.06433,0.4559,2.282,6.195,4.238,40,120,3,0.1914,0.1867,1.025,0.3781,5,10,5,0.6,0.02862,2.42,1.06,0.4123,0.2968,1.5,0.0625,0.02534,0.4106,0.2959,0.004706,212,212.5
'X1',0.2759,0.2759,0.9062,0.9062,2,2,3,9,7,14,71,69,0.9181,0.0819,11,3,3,0,1.55,3,2,0.3983,0.7826,0.5065,0.3983,0.09524,0.4069,0.1082,0.07792,0,0,0.008658,0,0,0,1.778,0.01724,0.446,2.623,6.679,3.957,120,60,2,0.1898,0.1876,1.012,0.3774,5,10,5,0.6,0.0301,3.053,0.4205,0.3243,0.1518,1.5,0.125,0,0.3242,0.152,0.01313,45.25,76.25
'X1',0.2857,0.2857,0.6667,0.6667,5,5,6,7,7,10,67,66,1,0,7,6,2,2,2.7,4,1,0.3,0.6667,0.3,0.15,0.2,0.5,0.1,0.15,0,0.05,0.05,0,0,0,1,0,0.4706,2.125,6.625,3.429,60,120,2,0.2712,0.2373,1.143,0.5085,5,5,5,0.4,0.03594,2.333,0.7071,0.3929,0.1866,1,0.25,0,0.3995,0.1885,0.1081,8.75,9.25
'X1',0.2414,0.2414,1,1,1,1,4,8,8,11,66,65,1,0,6,2,3,2,2.07,4,1,0.4035,0.5217,0.2632,0.1404,0.2105,0.614,0.1228,0.1053,0.01754,0,0,0,0,0,1.333,0,0.4286,2.13,5.087,4.708,80,40,2,0.236,0.2135,1.105,0.4494,5,8,5,0.4,0.03364,2.522,0.7007,0.3879,0.2912,1.25,0.125,0,0.3855,0.2934,0.04255,23,23.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2195,0.2195,0.7778,0.7778,2,2,6,8,7,12,74,72,0.5366,0.4634,2,6,3,2,2.1,3,2,0.45,0.3889,0.35,0.175,0.125,0.575,0.15,0.075,0,0.025,0,0,0,0,1,0.02439,0.4848,2.2,5,5.281,120,40,3,0.2014,0.1806,1.115,0.3819,5,10,5,0.6,0.02919,2.929,0.3819,0.3384,0.1636,1,0.125,0,0.337,0.1655,0.06723,14.37,14.88
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2451,0.2451,0.88,0.92,3,3,6,10,8,17,67,67,0.9412,0.05882,7,6,2,2,2.119,5,2,0.3861,0.5385,0.4851,0.2079,0.09901,0.4851,0.2475,0.0198,0,0.0297,0.009901,0,0,0,1.273,0.02941,0.4625,2.051,5.436,5.264,120,60,2,0.207,0.1911,1.083,0.3981,5,9,5,0.6,0.0322,2.615,0.4989,0.3799,0.1982,1,0.125,0,0.3807,0.1987,0.02516,39.25,39.75
'X1',0.285,0.285,0.8439,0.8439,2,2,3,11,7,17,71,69,0.9044,0.09555,11,3,3,0,1.587,3,2,0.401,0.7449,0.5099,0.401,0.1007,0.3993,0.1073,0.07591,0,0.00165,0.01485,0,0,0,1.5,0.04613,0.4325,2.486,6.555,3.952,120,60,2,0.1958,0.1882,1.041,0.3841,5,10,5,0.6,0.03008,3.066,0.4778,0.3254,0.1546,1.5,0.125,0,0.3246,0.1546,0.005045,82.17,198.5
'X1',0.3214,0.3214,0.5556,0.5556,4,4,4,9,7,14,71,69,0.8214,0.1786,11,3,3,2,1.889,3,2,0.4074,0.6364,0.4444,0.2593,0.07407,0.4815,0.1852,0.07407,0,0,0,0,0,0,1.5,0.1786,0.45,2.857,6,3.579,120,40,3,0.2464,0.2319,1.062,0.4783,3,10,3,1,0.03211,2,0.6614,0.4821,0.2901,1,0.125,0,0.4625,0.2769,0.06897,14,14.5
'X1',0.2875,0.2875,0.8897,0.8897,2,2,3,12,9,16,71,69,0.9154,0.08457,11,3,3,2,2.066,4,2,0.4153,0.5663,0.3729,0.2352,0.09746,0.5127,0.1208,0.1038,0,0.01695,0.01059,0,0,0,1.85,0.06977,0.4626,2.27,6.088,4.183,40,120,3,0.1957,0.1925,1.017,0.3882,5,10,5,0.6,0.02891,2.353,1.016,0.4239,0.3031,1.5,0.0625,0.02748,0.4222,0.3023,0.004963,201,201.5
'X1',0.2941,0.2941,0.6,0.6,2,2,4,9,7,14,74,74,0.2353,0.7647,2,4,3,2,2.562,3,1,0.5625,0.4444,0.25,0,0.0625,0.625,0.25,0.125,0,0,0,0,0,0,0,0.05882,0.375,3.2,6.4,3.875,120,60,2,0.3182,0.2955,1.077,0.6136,3,8,3,1,0.04026,1.7,1.323,0.5294,0.2002,1,0.125,0,0.4995,0.1646,0.1,9.5,10
'X1',0.3585,0.3585,0.6053,0.6053,2,2,2,10,7,16,74,75,0.1981,0.8019,2,2,2,0,1.857,3,2,0.3524,0.973,0.4857,0.3524,0.05714,0.4,0.1143,0.1048,0,0.01905,0.009524,0,0,0,3,0,0.4265,1.889,5.333,3.439,80,40,2,0.2161,0.2022,1.068,0.4183,5,10,5,0.4,0.03227,2.789,0.4226,0.3561,0.2104,1.5,0.125,0,0.3567,0.2112,0.02581,38.25,38.75
'X1',0.3258,0.3258,0.6512,0.6512,2,2,4,8,7,12,71,69,0.8636,0.1364,11,3,2,0,1.504,3,2,0.4351,0.5614,0.5725,0.4351,0.1069,0.3511,0.1298,0.0687,0,0.007634,0.007634,0,0,0,1.429,0.06061,0.4324,2.643,6.75,3.982,120,60,2,0.1992,0.1952,1.021,0.3944,5,10,5,0.6,0.03053,2.933,1.364,0.3362,0.1506,1,0.125,0,0.3354,0.1512,0.02204,44.87,45.38
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.3333,0.375,0.625,0.5556,3,3,4,7,6,14,81,78,0.04167,0.9583,9,2,3,2,1.957,3,2,0.4348,0.5,0.3043,0.2174,0.1739,0.6087,0.08696,0.04348,0,0,0.04348,0,0,0,1,0,0.5,4.5,10.5,5.765,80,40,2,0.2647,0.2353,1.125,0.5,5,8,5,0.4,0.03408,2.667,0.8839,0.3646,0.2299,1.25,0.125,0,0.3691,0.2338,0.1026,9.25,9.75
'X1',0.3077,0.3269,0.6875,0.7059,2,2,3,12,7,19,74,73,0.3077,0.6923,2,6,2,2,2.49,4,3,0.4902,0.32,0.2353,0.1373,0.09804,0.5882,0.07843,0.1569,0,0,0.01961,0,0.01961,0,0,0.05769,0.4545,2,5.682,4.917,120,60,2,0.3008,0.2932,1.026,0.594,3,9,3,1,0.03987,1.857,0.2822,0.5288,0.2005,1,0.125,0,0.5289,0.2025,0.03509,28,28.5
'X1',0.4839,0.4839,0.3333,0.3333,5,5,3,6,6,9,69,67,1,0,9,2,2,0,1.4,3,2,0.4333,1,0.4333,0.4333,0.03333,0.4667,0,0.1,0,0,0,0,0,0,0,0,0.4118,2.833,5.833,3.76,80,40,2,0.1963,0.1776,1.105,0.3738,5,10,5,0.4,0.02852,2.818,0.6614,0.3306,0.1724,0.75,0.125,0,0.3328,0.1747,0.08889,10.75,11.25
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
