@relation group355
@attribute class {'X1','X2','X3','X4','X5','X6','X7'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.2897,0.2897,0.8889,0.8889,2,2,3,12,9,16,71,69,0.9142,0.08584,11,3,3,2,2.065,4,2,0.4151,0.5699,0.372,0.2366,0.09677,0.5118,0.1183,0.1054,0,0.0172,0.01075,0,0,0,2.056,0.07082,0.4648,2.276,6.109,4.168,40,120,3,0.1972,0.1939,1.017,0.3911,5,10,5,0.6,0.02907,2.33,1.144,0.427,0.3041,1.5,0.0625,0.0279,0.4253,0.3032,0.005,199.5,200
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.3571,0.3571,0.6,0.8,3,5,4,6,5,12,74,72,0.5,0.5,2,2,2,5,2.923,5,5,0.3077,0.75,0.5385,0.2308,0,0.1538,0.3077,0.3077,0,0,0,0,0,0,1,0,0.5,2,6.6,3.625,40,60,1.5,0.3333,0.3333,1,0.6667,3,3,3,0.6667,0.04522,1.75,0.2357,0.5536,0.2004,1,0.25,0,0.5764,0.1878,0.1143,8.25,8.75
'X1',0.278,0.2819,0.6389,0.6301,3,9,5,12,8,19,74,72,0.5097,0.4903,2,5,2,2,2.222,4,2,0.441,0.4123,0.3327,0.1818,0.1277,0.5687,0.1044,0.09478,0.003868,0.04449,0,0,0.001934,0,0.5429,0.03475,0.4704,2.169,5.867,5.284,120,60,2,0.1779,0.171,1.04,0.349,5,10,5,0.6,0.02856,3.102,1.148,0.3214,0.1904,1.5,0.0625,0.003861,0.3201,0.1897,0.00597,167,167.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.4286,0.4286,0.619,0.619,2,2,3,8,7,12,71,69,0.9592,0.04082,11,1,3,0,1.583,3,2,0.4167,0.7,0.5833,0.4167,0.0625,0.3542,0.1667,0.0625,0,0,0,0,0,0,0.3333,0,0.5,1.647,4.353,2.902,60,120,2,0.2031,0.1979,1.026,0.401,5,10,5,0.4,0.03179,3.062,0.8004,0.3112,0.12,0.5,0.125,0,0.312,0.1209,0.06154,15.75,16.25
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2987,0.3117,0.5652,0.5417,3,9,5,10,7,17,74,72,0.5195,0.4805,2,5,2,2,2.026,4,2,0.4868,0.3243,0.2895,0.1579,0.1447,0.6316,0.1053,0.07895,0,0.02632,0,0,0,0,7,0.01299,0.4375,2.133,4.9,4.242,80,120,1.5,0.212,0.1979,1.071,0.4099,5,5,5,0.4,0.03313,3.08,1.708,0.3149,0.1901,1.25,0.0625,0.01299,0.3153,0.1912,0.0396,24.75,25.25
'X1',0.3636,0.3636,0.75,0.75,5,7,6,6,6,9,69,71,0.6364,0.3636,9,6,1,0,1.9,5,2,0.5,0.4,0.5,0.5,0.1,0.3,0,0.1,0,0,0.1,0,0,0,0,0.1818,0.6,2.5,8,1,60,120,2,0.2609,0.2609,1,0.5217,3,9,4,0.5,0.03327,1.833,0.5303,0.5227,0.2425,1,0.125,0,0.4995,0.243,0.1481,6.25,6.75
'X1',0.3077,0.3077,0.75,0.75,7,5,5,6,6,9,67,70,0.6923,0.3077,7,4,2,2,2.32,3,2,0.44,0.4545,0.44,0.2,0.04,0.48,0.2,0.08,0,0.04,0,0,0,0,0.6667,0,0.45,2.222,5.667,4.1,80,40,2,0.2576,0.2121,1.214,0.4697,5,8,5,0.4,0.0318,2.364,1.233,0.4135,0.2418,0.75,0.125,0,0.4195,0.2444,0.08511,11.25,11.75
'X1',0.2742,0.2742,0.8039,0.8039,2,2,4,9,7,14,69,69,0.9194,0.08065,9,4,3,2,2.519,2,2,0.5135,0.3368,0.3405,0.173,0.08649,0.6,0.07568,0.03784,0,0.04865,0.02162,0.04324,0,0,1.8,0.005376,0.3987,2.068,6.284,4.697,120,40,3,0.2231,0.2192,1.018,0.4423,5,5,5,0.6,0.03474,2.114,0.399,0.4691,0.3052,2,0.125,0,0.4671,0.3053,0.01133,87.75,88.25
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2385,0.2385,0.871,0.871,3,9,6,7,7,11,71,71,0.6462,0.3538,11,6,2,2,1.698,3,2,0.4574,0.5932,0.4186,0.2713,0.1085,0.5659,0.124,0.0155,0,0.02326,0,0,0,0,1,0.02308,0.5532,2.136,4.932,3.752,60,120,2,0.214,0.2052,1.043,0.4192,5,6,5,0.4,0.03343,2.889,1.241,0.3404,0.1517,1,0.125,0,0.3406,0.1521,0.0221,44.75,45.25
'X1',0.2727,0.2727,0.6667,0.6667,5,4,6,6,6,9,76,72,0.5455,0.4545,4,6,3,2,2,5,2,0.4,0.5,0.5,0.2,0.1,0.5,0.3,0,0,0,0,0,0,0,0.5,0,0.375,4,6.5,3.2,120,60,2,0.2,0.1714,1.167,0.3714,5,9,5,0.6,0.02905,2.75,0,0.3182,0.1295,0.5,0.125,0,0.2995,0.1208,0.2222,4,4.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2105,0.2105,1,1,4,5,5,6,6,8,67,70,0.7895,0.2105,2,4,1,2,1.611,4,1,0.3889,0.7143,0.3333,0.1667,0.2778,0.6667,0.1667,0,0,0,0,0,0,0,2,0,0.4,2.143,4,2.538,48,120,2.5,0.2131,0.2131,1,0.4262,5,5,5,0.2,0.03487,2.714,0.3536,0.3289,0.1456,0.75,0.25,0,0.3328,0.1485,0.1379,6.75,7.25
'X1',0.3725,0.3725,0.6316,0.6316,2,2,4,8,7,14,71,70,0.8235,0.1765,11,2,3,0,1.28,3,2,0.48,0.5,0.6,0.48,0.12,0.36,0.12,0.02,0,0,0.02,0,0,0,2,0.01961,0.3846,3.25,7.625,3.738,120,60,2,0.194,0.1891,1.026,0.3831,5,10,5,0.6,0.03132,3.188,0.6614,0.299,0.1201,0.75,0.125,0,0.2995,0.1211,0.06154,15.75,16.25
'X1',0.3636,0.3636,0.5,0.5,3,7,7,7,6,12,69,67,0.9091,0.09091,9,6,2,2,2.7,5,3,0.5,0.4,0.3,0.1,0,0.5,0.2,0.2,0,0,0,0,0,0,1,0,0.4444,2.25,5.75,2,120,60,2,0.2917,0.2083,1.4,0.5,5,5,5,0.6,0.03585,2.2,1.945,0.4091,0.1685,0.75,0.25,0,0.3995,0.1748,0.1818,5,5.5
'X1',0.3,0.3,0.6667,0.6667,2,5,5,5,5,7,67,70,0.8,0.2,7,4,2,2,2.556,6,2,0.4444,0.25,0.4444,0.1111,0.1111,0.5556,0.2222,0,0,0.1111,0,0,0,0,1,0,0.375,2.667,7,3.8,120,60,2,0.3043,0.2174,1.4,0.5217,5,5,5,0.6,0.03633,2.5,0,0.35,0.1291,0.5,0.25,0,0.3328,0.125,0.2222,4,4.5
'X1',0.3158,0.3158,1,1,2,2,4,4,4,5,74,73,0.3684,0.6316,2,2,3,2,1.889,3,1,0.5,0.4444,0.2222,0.1111,0.2222,0.7222,0.1111,0.05556,0,0,0,0,0,0,1,0,0.5625,2,3.875,3.933,120,40,3,0.1961,0.1765,1.111,0.3725,5,10,6,0.5,0.02837,2.375,0.2357,0.4079,0.3407,1.5,0.125,0,0.4162,0.3483,0.1143,8.25,8.75
'X1',0.2549,0.2549,0.7692,0.7692,4,5,6,6,6,9,67,70,0.7059,0.2941,7,6,2,0,1.56,2,2,0.38,1,0.52,0.38,0.08,0.46,0.1,0.02,0,0.04,0,0,0,0,1.5,0.03922,0.6129,1.824,4.353,3.302,120,60,2,0.2381,0.1964,1.212,0.4345,5,8,5,0.6,0.03347,2.833,0.6292,0.348,0.2376,1.5,0.125,0,0.3495,0.2396,0.05333,18.25,18.75
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2857,0.2857,1,1,1,1,4,4,4,5,78,78,0,1,6,2,3,0,0.8333,3,2,0.5,0.6667,0.5,0.5,0.1667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,80,1.5,0.3333,0.2667,1.25,0.6,4,5,4,0.5,0.03859,3.5,0,0.25,0,0.25,0.25,0,0.2495,0,0.3636,2.25,2.75
'X1',0.2,0.24,0.8,0.8333,10,2,4,9,8,12,74,69,0.68,0.32,4,2,2,2,1.917,4,1,0.375,0.5556,0.3333,0.1667,0.2083,0.5833,0.1667,0.08333,0,0,0,0,0,0,3,0,0.5,2.5,5.5,3.429,80,40,2,0.2857,0.2429,1.176,0.5286,5,5,5,0.4,0.03613,2.5,1.809,0.39,0.1627,0.75,0.25,0,0.3953,0.1635,0.09302,10.25,10.75
'X1',0.35,0.35,0.8571,0.8571,2,2,4,7,7,11,74,73,0.3,0.7,2,2,3,2,1.474,3,2,0.4211,0.875,0.5263,0.3684,0.05263,0.4737,0.1579,0,0,0,0,0,0,0,0.5,0.05,0.4167,3,5.25,2.154,120,60,2,0.2281,0.1754,1.3,0.4035,5,10,5,0.6,0.03159,2.5,0.4125,0.35,0.2092,1,0.125,0,0.3416,0.2118,0.125,7.5,8
'X1',0.1864,0.1864,1,1,3,3,5,10,8,14,67,68,0.9153,0.08475,7,6,3,2,2.517,4,2,0.3793,0.5,0.3448,0.1897,0.1034,0.4828,0.1379,0.1207,0,0.01724,0.05172,0,0,0,0.6,0.01695,0.4255,2.35,7.05,4.702,40,80,2,0.2424,0.2242,1.081,0.4667,5,9,5,0.6,0.03339,2.034,1.068,0.4831,0.4175,2.5,0.125,0,0.4478,0.3236,0.0339,29,29.5
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.3023,0.3023,0.5231,0.5385,5,7,5,11,8,15,74,72,0.4791,0.5209,2,5,2,2,2.187,3,2,0.4579,0.4184,0.3645,0.1916,0.1168,0.5748,0.1075,0.06075,0,0.06542,0,0,0,0,0.5333,0.0186,0.474,2.218,5.974,5.344,120,60,2,0.1855,0.1807,1.027,0.3663,5,10,5,0.6,0.02857,2.688,1.594,0.3686,0.239,1.5,0.125,0,0.3687,0.2394,0.01246,79.75,80.25
'X1',0.24,0.28,0.6667,0.5714,5,2,5,8,7,14,74,70,0.68,0.32,2,4,3,2,2.917,4,1,0.4583,0.2727,0.375,0.04167,0.125,0.5833,0.25,0.04167,0,0.04167,0,0,0.04167,0,1,0,0.4783,2.556,7,5.062,120,40,3,0.191,0.1798,1.062,0.3708,5,10,5,0.6,0.0293,2.778,0,0.335,0.1794,1,0.125,0,0.3328,0.1831,0.1067,8.875,9.375
'X1',0.277,0.2829,0.7163,0.7014,3,9,6,12,9,17,74,71,0.5855,0.4145,2,6,2,2,2.148,5,2,0.3642,0.573,0.4291,0.2087,0.1024,0.4665,0.2028,0.09646,0,0.01772,0.007874,0,0,0,5.438,0.01375,0.4005,1.853,5.018,4.506,80,120,1.5,0.2043,0.1963,1.041,0.4005,5,5,5,0.4,0.0324,3.048,0.4915,0.3278,0.2222,1.5,0.0625,0.01375,0.3255,0.2186,0.005957,167.4,167.9
'X1',0.5,0.5,0.5,0.5,2,2,4,4,4,7,71,71,0.75,0.25,11,3,3,2,1.857,3,2,0.7143,0.2,0.2857,0.1429,0,0.7143,0.1429,0,0,0,0,0,0,0,0,0,0.6667,2,2,2,120,60,2,0.3889,0.3333,1.167,0.7222,3,3,3,1,0.04564,1.6,1.414,0.5,0,0.5,0.5,0,0.4995,0,0.2,4.5,5
'X1',0.3438,0.3438,0.7273,0.7273,2,2,5,6,6,8,69,69,0.9062,0.09375,9,4,3,2,1.484,4,2,0.3871,0.75,0.4516,0.2903,0.1613,0.5484,0.1613,0,0,0,0,0,0,0,1.5,0,0.4091,2.2,4.1,3.8,120,40,3,0.2143,0.1786,1.2,0.3929,5,10,5,0.6,0.03093,2.909,1.258,0.3125,0.1188,0.5,0.125,0,0.306,0.1156,0.09091,10.5,11
'X1',0.2667,0.2667,0.75,0.75,2,9,4,6,6,9,69,71,0.7333,0.2667,9,2,3,2,2.071,4,2,0.5,0.2857,0.3571,0.1429,0.1429,0.6429,0.1429,0,0,0.07143,0,0,0,0,0,0,0.4167,3,6.5,4.222,40,60,1.5,0.2128,0.2128,1,0.4255,5,5,5,0.6,0.03485,3,2.475,0.3167,0.1484,0.75,0.25,0,0.3209,0.1528,0.1739,5.25,5.75
'X1',0.2167,0.2167,0.8462,0.8846,3,3,6,11,8,17,67,67,0.9333,0.06667,7,6,2,2,2.202,5,2,0.3613,0.5116,0.4622,0.1849,0.1345,0.4958,0.2437,0.02521,0,0.03361,0.01681,0,0,0,1.417,0.025,0.4433,2.366,6.293,5.313,120,60,2,0.211,0.1973,1.069,0.4082,5,9,5,0.6,0.03271,2.449,0.6061,0.4,0.2172,1,0.125,0,0.3945,0.2109,0.02041,48.5,49
'X1',0.3,0.3,0.6667,0.6667,1,11,6,6,6,9,71,71,0.7,0.3,11,6,3,2,2.111,4,1,0.5556,0.4,0.2222,0,0.2222,0.7778,0.2222,0,0,0,0,0,0,0,1,0,0.4444,4.5,8,3.75,60,120,2,0.28,0.28,1,0.56,5,5,5,0.4,0.03703,2,1.768,0.45,0.2297,1,0.25,0,0.3884,0.1318,0.1818,5,5.5
'X1',0.25,0.25,0.8333,0.8333,2,2,4,7,6,12,67,68,0.9167,0.08333,7,5,3,2,2.304,3,2,0.5652,0.3077,0.3913,0.1739,0.04348,0.6087,0.1304,0,0,0.04348,0,0.04348,0,0,0,0,0.4211,2.111,5.667,4.471,60,40,1.5,0.2576,0.2273,1.133,0.4848,5,5,5,0.4,0.03579,2.182,0.5774,0.4167,0.1903,1,0.25,0,0.4126,0.1938,0.09091,10.5,11
'X1',0.2375,0.25,0.9474,0.9,3,9,5,10,7,17,74,71,0.6125,0.3875,2,5,2,2,2.633,5,3,0.3797,0.4,0.3418,0.1266,0.1013,0.481,0.1899,0.1519,0,0.02532,0.02532,0,0,0,2,0.0875,0.4493,2.3,6.6,5.377,60,120,2,0.2308,0.2127,1.085,0.4434,5,10,5,0.4,0.03238,2.162,0.8238,0.4594,0.2711,1.5,0.125,0,0.4615,0.2718,0.02649,37.25,37.75
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.35,0.35,0.5714,0.7143,4,9,5,6,5,12,71,69,0.85,0.15,11,3,2,0,2.421,5,2,0.2632,1,0.5789,0.2632,0.05263,0.3158,0.2632,0.1053,0,0.05263,0,0,0,0,0.6667,0,0.4286,2.333,7.167,3.071,80,40,2,0.2586,0.2241,1.154,0.4828,5,5,5,0.4,0.03542,2.222,0.8839,0.4125,0.26,1.25,0.25,0,0.3679,0.1742,0.1081,8.75,9.25
'X1',0.2791,0.2849,0.6875,0.6735,3,9,6,12,9,17,74,71,0.5799,0.4201,2,6,2,2,2.112,4,2,0.4003,0.4873,0.3901,0.1951,0.115,0.5153,0.1747,0.08734,0,0.02038,0.007278,0,0,0,5,0.01453,0.4123,1.934,5.066,4.596,80,120,1.5,0.2027,0.1969,1.03,0.3996,5,7,5,0.4,0.03236,3.071,0.5367,0.3254,0.2195,1.5,0.0625,0.01163,0.3236,0.2168,0.004447,224.4,224.9
'X1',0.1562,0.2188,0.8,0.7143,5,7,7,12,8,19,72,72,0.5625,0.4375,7,6,2,2,2.429,5,1,0.3492,0.6818,0.3968,0.09524,0.1587,0.5079,0.2857,0.09524,0,0,0,0,0.01587,0,5,0,0.4386,2.192,5.769,5.085,80,40,2,0.2474,0.2268,1.091,0.4742,5,6,5,0.4,0.03447,2.56,1.411,0.3789,0.226,1.25,0.125,0,0.3805,0.2272,0.0396,24.75,25.25
